title,Number_of_tags,class_val
Which Emo Trinity Album Are You Based On Your Zodiac Sign,5,1
"Which ""Crazy Ex-Girlfriend"" Song Do You Need To Hear Today",4,1
Which Fairy Are You Based On Your Zodiac,5,1
18 Gift Ideas For People Obsessed With Fluffy Things,5,1
"Test Your Memory Of The First Episode Of ""The Office""",7,1
Men Open Up About The Pressures Of Masculinity,10,1
17 Gorgeous Subscription Boxes Stylish People Will Love,4,1
Women Got Transformed Into Telenovela Stars And Looked Dramatic AF,9,1
"The Hardest ""Harry Potter"" Spelling Test You'll Ever Take",4,1
Which Hogwarts House Are You In Based On Your Favorite New-ish Song,6,1
This Is The Only Coloring Book You'll Need After A Breakup,8,1
"How Well Do You Remember The Words To Dr. Dre's ""Forgot About Dre""",5,1
Are You More Meredith Grey Or Meredith Grey,9,1
Which Flavor Of La Croix Water Are You,4,1
We Know Which Cute Baby Panda GIF You Need To See Today,8,1
This Man Made His Wife's Most Random Texts Into A Hilarious Collage,2,1
People In The Philippines Burned Nikes After The Company Dropped Manny Pacquiao - BuzzFeed News,9,1
This Was What The World Looked Like 30 Years Ago,10,1
19 Small Changes That Actually Helped People Lose Weight,6,1
Amber Rose Just Explained What Consent Is In The Most Perfectly Simple Way - BuzzFeed News,7,1
11 Charts That Are Way Too Real For Singers,10,1
13 Simple Little Things To Try If You're Having Trouble Sleeping,6,1
16 Of The Creepiest Places In Texas That'll Forever Haunt Your Dreams,6,1
Literally Just A Bunch Of Funny Tweets About HGTV Shows,6,1
For Everyone Who Thinks Ulta Is The Best Makeup Store,10,1
What's The Absolute Laziest Thing You've Ever Paid For,3,1
John Legend Kissing Chrissy Teigen's Baby Bump Is Couple Goals,5,1
Which Puppy Should Give You A Pep Talk,0,1
We Pitted These Budget And Luxury Dry Shampoos Against Each Other And Here's What Happened,8,1
Demi Lovato's Impressions Of Fetty Wap And Christina Aguilera Are Mind-Blowing,10,1
17 Things That Are Secretly Satisfying If You're Old At Heart,9,1
A Stingray Photobombed A Couple's Proposal And It's Adorable,8,1
18 Confessions About Married Sex That Will Break Your Heart,10,1
This Pup Broke A World Record And Proves Dogs Are Better Than Everyone,9,1
21 Kitchen Upgrades That You Can Actually Do Yourself,6,1
"All Of ""The Simpsons"" Movie Tributes You Ever Wanted To See",10,1
The Most Thoughtful Stories You Can't Miss This Week - BuzzFeed News,7,1
18 Fixes To Small Problems That Are Annoying AF,4,1
How To Cook Perfect Eggs,10,1
21 Useful Things That Will Actually Organize Your Closet,10,1
The Grammys Are Far From Balanced Even After Some Big Changes - BuzzFeed News,10,1
"How ""Queen Of Sappy Love Songs"" Delilah Conquered Radio",6,1
16 Gourmet Pizzas That Put Cheese And Pepperoni To Shame,6,1
"How Well Do You Know The Lyrics To ""Love Is An Open Door"" From ""Frozen""",5,1
"16 ""The Simpsons"" Questions That Are Impossible To Answer",5,1
"Which Hogwarts Houses Do These ""Hannibal"" Characters Belong In",4,1
Which Anakin Skywalker GIF Are You,8,1
Can You Name The First 20 Elements Of The Periodic Table,5,1
Which Year Of The 2010 Decade (So Far) Are You,10,1
Are You More Taylor Swift Or Kanye West,3,1
What '00s Year Do You Belong In,10,1
Which Leonardo DiCaprio Character Should You Date Based On Your Sign,8,1
Kesha's Plea To Get Out Of Her Contract With Dr. Luke Is Denied By Judge - BuzzFeed News,4,1
This Color Swirl Test Will Determine Your Actual Personality Type,8,1
Sailor Senshi Imagined As Disney Princesses,4,1
21 Tweets About Depression That Just Might Make You Laugh,4,1
"This Is The Hardest ""Degrassi"" Quiz You'll Ever Take",5,1
"How High Is Your ""Seinfeld"" IQ",4,1
"Here's What The Cast Of ""She's The Man"" Looks Like Today",6,1
Rob Kardashian Gave Us A Look Inside His Kitchen Cabinets And Refrigerator,4,1
Can You Tell Who These Model's Famous Parents Are,4,1
We Can Determine If You're A Good Driver Or Not In Three Questions,4,1
Here's Why Ditching Apple's iPhone Cord Changed My Life,6,1
22 Of The Most Powerful Photos Of This Week,6,1
"""Damn Daniel"" Has Turned A Teenager Into A Huge Meme",10,1
Now You Can Walk Through A Giant Cake Room And OMG It Looks Amazing,3,1
Marc Anthony Delivered A Powerful Speech About Being Latino In The U.S,7,1
17 Perfect Products For Embracing Your Inner Kanye,9,1
Stone Cold Steve Austin Tries Fancy Cocktails For The First Time,8,1
Lady Gaga Modeled For Marc Jacobs And Stole The Damn Show,8,1
Can You Identify The Britney Spears Video By Its YouTube Comment,4,1
What New Song Should You Listen To On Repeat This Weekend,10,1
"What Your Star Sign Actually Says About You, According To Science",4,1
27 Food Truths Only People From San Francisco Understand,9,1
Rebel Wilson Wants One Direction Fans To Know She Didn't Grope Harry Styles,4,1
This Woman Is 110 Years Old Today And She Has Had ENOUGH,9,1
Storms Have Unveiled A Shipwreck From The 1930s In California,9,1
"Are You Ellen, Paige, Or Ellen Page",5,1
This Is What 100 Years Of Bunny Beauty Looks Like In Less Than 2 Minutes,6,1
How Deadpool Are You,3,1
"The Entire ""Street Fighter V"" Cast Ranked By Design",10,1
This Little Girl Saved Up To Buy Her Big Brother A Hamster And It's Honestly Sibling Goals,8,1
22 Times Anthropologie Went Way Too Far,9,1
13 Pictures To Brighten Your Bad Day,3,1
"This Photo Of Angela, Oscar, and Pam Hanging Out In Real Life Is Too Adorable",7,1
I Finally Bought An Amazon Echo And This Is What Happened,3,1
Some People Think Gigi Hadid Kinda Looks Like Fergie,6,1
Once You See Jamie Fraser Your Life Will Never Be The Same Again,3,1
14 Models With Albinism Who Are Taking The Fashion World By Storm,8,1
Can You Make It Through This Post Without Getting Your Life,10,1
32 Profound Harper Lee Quotes We'll Never Forget,4,1
We Played With Bizarre Sex Toys So You Don't Have To,7,1
Ellen DeGeneres Had Adele Record Her Voicemail Greeting And It's Perfection,4,1
Jimmy Fallon Is A Terrible Liar And Vince Vaughn Knows It,6,1
Show Us Your Geeky-Inspired Tattoos,8,1
"This Guy Covered ""Sorry"" In 20 Different Ways And I've Never Wanted To Hear An Apology More",10,1
People Are Sharing Touching Stories Of How Harper Lee Changed Their Lives - BuzzFeed News,10,1
Quesadillas Are The Best Thing Ever And We Are Not Worthy,9,1
15 Harper Lee-Inspired Tattoos Because We'll Never Forget,8,1
19 Of The Best BBQ Places In Texas That'll Make Your Mouth Water,5,1
We Know Who Your Celebrity Boyfriend Should Be Based On One Question,1,1
This Is What People Are Buying On Amazon This Week,4,1
11 Weird Things Your Brain Does,4,1
33 Things Shia LaBeouf Said To Students In A Lift In The Oxford Union,9,1
27 Batshit Lines From Mike Tyson's Autobiography,9,1
This Couple Set Up A Romantic Date At Taco Bell And It's The Best Thing Ever,2,1
"The First Teaser For ""Unbreakable Kimmy Schmidt"" Season 2 Is Here",7,1
17 Surprisingly Good Places To Find Cute Clothes For Work,3,1
How Many Of These Taco Bell Menu Items Have You Tried,6,1
"Weekend Reads: Apple, Aristotle, And Thank-You Notes - BuzzFeed News",0,1
29 Things You Actually Need To Hear If You're Trying To Lose Weight,5,1
Where's The Best Place To Buy Bedding,9,1
15 Delectable Overnight Oats That Are Totally Worth Getting Out Of Bed For,2,1
15 Ooey Gooey Snacks That Take Cheese To The Next Level,7,1
17 Medieval Snails That Perfectly Summarise Your Life,4,1
"21 Reasons ""Harry Potter"" Is Actually The Worst Series Of All Time",4,1
26 Pictures That Show How Different America And Britain Are,10,1
Shia LaBeouf Has Occupied An Elevator In Oxford For 24 Hours - BuzzFeed News,3,1
Which Famous Trio Of Friends Would You Belong To,4,1
15 TV Characters Who Prove Slytherins Are Actually The Best,4,1
"Which Character From ""Arrested Development"" Are You Based On Your Zodiac",7,1
"Kanye West Finally Tweeted Something Lovely And It's About North, Obviously",1,1
Pickup Artists Are Apparently Copying And Pasting This Gross Message To Women On Tinder - BuzzFeed News,8,1
We Know Where In America You Actually Live,4,1
Do You Know What Happened In The News This Week - BuzzFeed News,0,1
25 Beautiful Vintage Pictures Of New Orleans' Vibrant Culture,5,1
How Many Tinder Matches Will It Take You To Find Your Bae,9,1
"Guys, There's A Mashup Called ""Hotline Bing"" Of Chandler Dancing To ""Hotline Bling""",10,1
Do You Know The Alter Egos Of These Superheroes,8,1
Which Iconic Britney Spears Song Are You Based On Three Questions,3,1
"Are These Reviews From ""Street Fighter V"" Or Another Fighting Game",8,1
How Many Iconic '70s Films Have You Seen,10,1
"Hey Hindi-Speakers, Here's A Really Chill Jam For You To Listen To Today",4,1
We Know If Your Crush Likes You Back Based On One Question,4,1
Which Pop Star Are You Based On Your Zodiac Sign,5,1
Can You Guess The Disney Movie By A Single Letter From The Title Screen,7,1
"Can You Identify Every Single Character From The ""Toy Story"" Movies",6,1
Can You Identify These Pop Artists By An Anagram Of Their Name,6,1
This Sweet Dog Became A Mom To A Litter Of Orphaned Opossums,10,1
A Basic-Ass Guide To Men's Shirt Collars,6,1
12 Celebrity #TBT Photos You Need To See This Week,10,1
27 Fictional Couples That Will Restore Your Faith In Black Love,10,1
What Pet Name Should You Bestow Upon Your Significant Other,7,1
19 Things You'll Probably Only Ever See In Vegas,10,1
"Who Are You In The ""Deadpool"" Movie",4,1
Can You Tell If This Is A Wig,4,1
"What ""Harry Potter"" Sequel Do You Actually Want To See",5,1
This Vet Saved A Dog's Life And Helped Him See Again,10,1
17 Times Disney Princesses Had No Fucking Chill,5,1
19 Iconic Lessons Britney Spears Taught Us About Life,6,1
These Are The Chillest Lizards In The History Of The Animal Kingdom,4,1
22 Landlords Who Need To Be Fucking Stopped,2,1
19 Sibling Moments That Are Too Real For Latinos,8,1
Can We Guess Your Age Based On Your Taste In M&Ms,2,1
A Canadian Nightclub Put A Crazy Donald Trump Mural In Its Bathroom,2,1
21 Life Lessons Big Ang Taught Us All,5,1
Here Are The Reasons Why Plus-Size Women Don't Care That You Think We're Fat,4,1
19 Realistic Ways To Actually Work Travel Into Your Life,3,1
18 Pictures You Understand If You're Weird As Hell,2,1
Teen Injured In Pearl Harbor Helicopter Crash Dies - BuzzFeed News,6,1
There's A Hot Tub Full Of Beer In Austria And You'll Get Drunk Just Looking At It,0,1
18 Pictures You Understand If You're Weird As Hell,2,1
Teen Injured In Pearl Harbor Helicopter Crash Dies - BuzzFeed News,6,1
There's A Hot Tub Full Of Beer In Austria And You'll Get Drunk Just Looking At It,0,1
26 Tweets That Catholics Will Find Sinfully Funny,10,1
21 Agonizing Truths For People Who Feel Too Much,4,1
This Wild Bobcat Missing A Front Leg Can Still Run Like The Wind - BuzzFeed News,1,1
Here's Justin Bieber Looking Gorgeous While Skateboarding And Playing Instruments,3,1
This New Starbucks Drink Is Basically Butterbeer,7,1
Here's How W. Kamau Bell Talks About Race With His Kids,6,1
"Can You Tell What Band Is On A Cover Of ""NME""",5,1
I Tested Pinterest Mug Recipes To See If They Actually Taste Like Food,10,1
19 Pictures That Sum Up How Absolutely Ridiculous It Is Finding A Job,3,1
21 Little Things You Did In 2006 That Were So Gratifying,10,1
37 All Too Real Things Every Parent Says,6,1
23 Pictures That Prove There Is Still Hope For All Of Us,2,1
Kristin Cavallari Posted A TBT With Stephen And It Will Make You Nostalgic AF,5,1
Here's A T-Rex Riding A Soccer-Playing Horse Because Of Course,6,1
